timestamp,cpu_percent,memory_mb,disk_io_mbps,network_kbps,response_time_ms
2025-01-15T08:00:00,23.5,2048.3,45.2,1250.8,120
2025-01-15T08:01:00,28.1,2156.7,52.8,1380.2,135
2025-01-15T08:02:00,31.4,2201.4,48.1,1420.5,142
2025-01-15T08:03:00,45.2,2389.6,67.3,1680.1,185
2025-01-15T08:04:00,62.8,2512.8,89.4,2150.7,245
2025-01-15T08:05:00,78.3,2698.2,112.6,2890.4,320
2025-01-15T08:06:00,85.1,2845.9,134.2,3250.8,410
2025-01-15T08:07:00,91.4,3012.4,156.8,3680.2,520
2025-01-15T08:08:00,88.7,2956.1,145.3,3420.6,485
2025-01-15T08:09:00,72.3,2734.5,118.7,2980.3,365
2025-01-15T08:10:00,54.6,2501.2,87.4,2340.1,255
2025-01-15T08:11:00,38.2,2298.7,61.5,1820.4,175
2025-01-15T08:12:00,29.5,2145.3,49.8,1450.9,148
2025-01-15T08:13:00,25.1,2078.6,46.2,1310.5,128
2025-01-15T08:14:00,22.8,2034.1,44.1,1220.3,118
2025-01-15T08:15:00,21.4,2012.5,43.5,1180.7,112
2025-01-15T08:16:00,24.7,2089.3,47.6,1290.4,125
2025-01-15T08:17:00,33.2,2234.8,58.9,1580.2,158
2025-01-15T08:18:00,48.6,2445.1,78.3,2010.6,215
2025-01-15T08:19:00,67.9,2678.4,105.7,2720.8,298
2025-01-15T08:20:00,82.4,2891.6,128.4,3180.5,385
2025-01-15T08:21:00,89.6,3045.2,148.9,3520.1,465
2025-01-15T08:22:00,93.2,3156.8,162.3,3780.4,545
2025-01-15T08:23:00,90.1,3089.4,153.6,3610.7,505
2025-01-15T08:24:00,76.5,2812.3,124.1,3050.2,342
2025-01-15T08:25:00,58.3,2567.9,93.8,2480.6,268
2025-01-15T08:26:00,41.7,2356.2,68.4,1920.3,192
2025-01-15T08:27:00,32.4,2212.5,54.7,1590.8,162
2025-01-15T08:28:00,27.6,2123.8,49.2,1380.4,138
2025-01-15T08:29:00,24.3,2067.4,45.8,1260.1,122
2025-01-15T08:30:00,22.1,2041.2,44.3,1210.5,115
2025-01-15T08:31:00,26.8,2098.6,48.9,1340.2,132
2025-01-15T08:32:00,35.4,2267.3,62.1,1680.7,172
2025-01-15T08:33:00,51.2,2489.5,83.6,2180.4,238
2025-01-15T08:34:00,70.8,2734.1,112.3,2890.6,315
2025-01-15T08:35:00,84.7,2934.8,136.7,3380.2,402
2025-01-15T08:36:00,91.8,3078.4,154.2,3690.5,492
2025-01-15T08:37:00,94.5,3189.6,165.8,3850.1,558
2025-01-15T08:38:00,92.3,3134.2,159.4,3740.8,528
2025-01-15T08:39:00,81.6,2912.7,138.1,3280.4,418
2025-01-15T08:40:00,64.2,2645.3,108.5,2650.7,285
2025-01-15T08:41:00,46.9,2412.8,79.2,2090.3,208
2025-01-15T08:42:00,36.1,2278.4,63.8,1740.6,178
2025-01-15T08:43:00,30.2,2189.1,53.4,1520.2,152
2025-01-15T08:44:00,26.4,2134.6,48.6,1360.8,136
2025-01-15T08:45:00,23.9,2089.3,46.1,1280.4,124
2025-01-15T08:46:00,28.7,2156.8,51.3,1450.1,145
2025-01-15T08:47:00,39.4,2312.4,69.7,1850.5,195
2025-01-15T08:48:00,55.8,2534.9,91.4,2380.2,258
2025-01-15T08:49:00,74.3,2789.2,118.6,2980.6,335
2025-01-15T08:50:00,87.2,2978.5,142.3,3450.8,428
